Data file for DataLogger.,,,,
==============================================================================,,,,
COMPANY    : <Company name>,,,,
COMP.STATUS: Do,,,,
DATE       : 15/03/2015,,,,
TIME       : 11:35:04,,,,
FILENAME   : C:\Users\geotech\Desktop\CTD Diver\CSV\ctd_07_150315113504_M8812.CSV,,,,
CREATED BY : SWS Diver-Office 4.0.76.0,,,,
==========================    BEGINNING OF DATA     ==========================,,,,
[Logger settings],,,,
  Instrument type         =CTD-Diver=17,,,,
  Status                  =Started =0,,,,
  Serial number           =..11-M8812  317.,,,,
  Instrument number       =                    ,,,,
                          =0,,,,
  Location                =ctd_07,,,,
  Sample period           =M10,,,,
  Sample method           =T   ,,,,
  Number of channels      =3,,,,
[Channel 1],,,,
  Identification          =PRESSURE,,,,
  Reference level         =4.000     m,,,,
  Range                   =17.500    m,,,,
  Master level            =1750      CMH2O,,,,
  Altitude                =0         m,,,,
[Channel 2],,,,
  Identification          =TEMPERATURE,,,,
  Reference level         =-20.00    °C,,,,
  Range                   =100.00    °C,,,,
,,,,
,,,,
[Channel 3],,,,
  Identification          =2: SPEC.COND.,,,,
  Reference level         =0.00      mS/cm,,,,
  Range                   =120.00    mS/cm,,,,
,,,,
,,,,
[Series settings],,,,
  Serial number           =..11-M8812  317.,,,,
  Instrument number       =                    ,,,,
  Location                =ctd_07,,,,
  Sample period           =00 00:10:00 0,,,,
  Sample method           =T   ,,,,
  Start date / time       =00:00:16 02/11/14,,,,
  End date / time         =00:20:11 15/03/15,,,,
[Channel 1 from data header],,,,
  Identification          =PRESSURE,,,,
  Reference level         =4.000     m,,,,
  Range                   =17.500    m,,,,
  Master level            =1750      CMH2O,,,,
  Altitude                =0         m,,,,
[Channel 2 from data header],,,,
  Identification          =TEMPERATURE,,,,
  Reference level         =-20.00    °C,,,,
  Range                   =100.00    °C,,,,
,,,,
,,,,
[Channel 3 from data header],,,,
  Identification          =2: SPEC.COND.,,,,
  Reference level         =0.00      mS/cm,,,,
  Range                   =120.00    mS/cm,,,,
,,,,
,,,,
[Data],,,,
19125,,,,
Date/time,,,Temperature[°C],2:Spec.cond.[mS/cm]
11/2/2014 16:00,41945.66667,1030.9,28.51,0.25
11/2/2014 16:10,41945.67361,1030.9,28.7,0.25
11/2/2014 16:20,41945.68056,1031.2,28.72,0.26
11/2/2014 16:30,41945.6875,1031.1,28.56,0.26
11/2/2014 16:40,41945.69444,1030.9,28.31,0.25
11/2/2014 16:50,41945.70139,1031.1,28.08,0.25
11/2/2014 17:00,41945.70833,1031.1,28.01,0.26
11/2/2014 17:10,41945.71528,1031.3,27.97,0.25
11/2/2014 17:20,41945.72222,1031.1,28.14,0.24
11/2/2014 17:30,41945.72917,1031.3,28.42,0.24
11/2/2014 17:40,41945.73611,1031.4,28.62,0.24
11/2/2014 17:50,41945.74306,1031.4,28.76,0.24
11/2/2014 18:00,41945.75,1031.4,28.84,0.24
11/2/2014 18:10,41945.75694,1031.4,28.86,0.24
11/2/2014 18:20,41945.76389,1031.6,28.85,0.24
11/2/2014 18:30,41945.77083,1031.6,28.82,0.24
11/2/2014 18:40,41945.77778,1031.8,28.79,0.24
11/2/2014 18:50,41945.78472,1031.8,28.75,0.24
11/2/2014 19:00,41945.79167,1032.1,28.68,0.23
11/2/2014 19:10,41945.79861,1031.8,28.57,0.23
11/2/2014 19:20,41945.80556,1031.9,28.47,0.22
11/2/2014 19:30,41945.8125,1032.1,28.38,0.21
11/2/2014 19:40,41945.81944,1032.3,28.29,0.21
11/2/2014 19:50,41945.82639,1032.5,28.19,0.21
11/2/2014 20:00,41945.83333,1032.6,28.08,0.22
11/2/2014 20:10,41945.84028,1032.8,27.9,0.21
11/2/2014 20:20,41945.84722,1032.9,27.56,0.2
11/2/2014 20:30,41945.85417,1032.9,27.15,0.19
11/2/2014 20:40,41945.86111,1032.9,26.71,0.19
11/2/2014 20:50,41945.86806,1033,26.22,0.19
11/2/2014 21:00,41945.875,1032.8,25.8,0.19
11/2/2014 21:10,41945.88194,1033,25.43,0.18
11/2/2014 21:20,41945.88889,1032.9,25.17,0.16
11/2/2014 21:30,41945.89583,1032.9,24.94,0.15
11/2/2014 21:40,41945.90278,1033,24.73,0.14
11/2/2014 21:50,41945.90972,1033,24.54,0.13
11/2/2014 22:00,41945.91667,1033,24.49,0.13
11/2/2014 22:10,41945.92361,1033.2,24.54,0.12
11/2/2014 22:20,41945.93056,1033,24.59,0.12
11/2/2014 22:30,41945.9375,1033,24.67,0.11
