Data file for DataLogger.,,,,
==============================================================================,,,,
COMPANY    : <Company name>,,,,
COMP.STATUS: Do,,,,
DATE       : 15/08/2014,,,,
TIME       : 08:32:15,,,,
FILENAME   : C:\ProgramData\DiverOffice\onr\CSV\P9879_140815083215_ctd_18.CSV,,,,
CREATED BY : SWS Diver-Office 4.0.76.0,,,,
==========================    BEGINNING OF DATA     ==========================,,,,
[Logger settings],,,,
  Instrument type         =CTD-Diver=17,,,,
  Status                  =Started =0,,,,
  Serial number           =..02-P9879  317.,,,,
  Instrument number       =                    ,,,,
                          =0,,,,
  Location                =ctd_18,,,,
  Sample period           =M10,,,,
  Sample method           =T   ,,,,
  Number of channels      =3,,,,
[Channel 1],,,,
  Identification          =PRESSURE,,,,
  Reference level         =400.0     cm,,,,
  Range                   =1750.0    cm,,,,
  Master level            =1750      CMH2O,,,,
  Altitude                =0         m,,,,
[Channel 2],,,,
  Identification          =TEMPERATURE,,,,
  Reference level         =-20.00    °C,,,,
  Range                   =100.00    °C,,,,
,,,,
,,,,
[Channel 3],,,,
  Identification          =2: SPEC.COND.,,,,
  Reference level         =0.00      mS/cm,,,,
  Range                   =120.00    mS/cm,,,,
,,,,
,,,,
[Series settings],,,,
  Serial number           =..02-P9879  317.,,,,
  Instrument number       =                    ,,,,
  Location                =ctd_18,,,,
  Sample period           =00 00:10:00 0,,,,
  Sample method           =T   ,,,,
  Start date / time       =00:00:10 17/05/14,,,,
  End date / time         =00:30:08 15/08/14,,,,
[Channel 1 from data header],,,,
  Identification          =PRESSURE,,,,
  Reference level         =400.0     cm,,,,
  Range                   =1750.0    cm,,,,
  Master level            =1750      CMH2O,,,,
  Altitude                =0         m,,,,
[Channel 2 from data header],,,,
  Identification          =TEMPERATURE,,,,
  Reference level         =-20.00    °C,,,,
  Range                   =100.00    °C,,,,
,,,,
,,,,
[Channel 3 from data header],,,,
  Identification          =2: SPEC.COND.,,,,
  Reference level         =0.00      mS/cm,,,,
  Range                   =120.00    mS/cm,,,,
,,,,
,,,,
[Data],,,,
12952,,,,
Date/time,,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
5/17/2014 10:00,41776.41667,1026.9,31.32,0
5/17/2014 10:10,41776.42361,1027.5,33.01,0
5/17/2014 10:20,41776.43056,1027.1,33.64,0
5/17/2014 10:30,41776.4375,1027.2,35.71,0
5/17/2014 10:40,41776.44444,1027.5,37.33,0
5/17/2014 10:50,41776.45139,1027.1,38.67,0
5/17/2014 11:00,41776.45833,1342.5,26.8,33.82
5/17/2014 11:10,41776.46528,1344.7,26.39,33.98
5/17/2014 11:20,41776.47222,1347.1,26.3,33.7
5/17/2014 11:30,41776.47917,1350,26.24,33.83
5/17/2014 11:40,41776.48611,1352.8,26.2,34.12
5/17/2014 11:50,41776.49306,1356.6,26.16,33.79
5/17/2014 12:00,41776.5,1359.6,26.13,33.53
5/17/2014 12:10,41776.50694,1363.1,26.1,33.9
5/17/2014 12:20,41776.51389,1366.1,26.09,33.9
5/17/2014 12:30,41776.52083,1368.3,26.06,33.55
5/17/2014 12:40,41776.52778,1370.6,26.04,33.91
5/17/2014 12:50,41776.53472,1372.9,26.02,33.4
5/17/2014 13:00,41776.54167,1375.3,26,33.3
5/17/2014 13:10,41776.54861,1377.1,25.99,33.47
5/17/2014 13:20,41776.55556,1379.5,25.97,33.5
5/17/2014 13:30,41776.5625,1381.3,25.95,34.11
5/17/2014 13:40,41776.56944,1383,25.95,33.08
5/17/2014 13:50,41776.57639,1384.5,25.93,33.06
5/17/2014 14:00,41776.58333,1385.8,25.92,33.77
5/17/2014 14:10,41776.59028,1386.9,25.91,33.84
5/17/2014 14:20,41776.59722,1388.1,25.9,34.05
5/17/2014 14:30,41776.60417,1388.9,25.88,34.84
5/17/2014 14:40,41776.61111,1389.1,25.87,34.09
5/17/2014 14:50,41776.61806,1389.2,25.86,33.85
5/17/2014 15:00,41776.625,1389.1,25.85,34.05
5/17/2014 15:10,41776.63194,1388.4,25.84,33.96
5/17/2014 15:20,41776.63889,1387.2,25.83,33.96
5/17/2014 15:30,41776.64583,1385.8,25.82,34.84
5/17/2014 15:40,41776.65278,1383.1,25.81,34.26
5/17/2014 15:50,41776.65972,1380.4,25.8,33.9
5/17/2014 16:00,41776.66667,1377.4,25.79,33.8
5/17/2014 16:10,41776.67361,1374.5,25.78,33.92
5/17/2014 16:20,41776.68056,1371.6,25.77,33.59
5/17/2014 16:30,41776.6875,1369,25.76,33.93
