"HOBO 3, CTD 01",,Pressure[cm],Temperature[°C],2:Spec.cond.[mS/cm]
5/18/2014 0:00,41777,1202.541133,25.708,-99
5/18/2014 0:30,41777.02083,1202.000683,25.708,-99
5/18/2014 1:00,41777.04167,1201.297079,25.708,-99
5/18/2014 1:30,41777.0625,1201.123727,25.708,-99
5/18/2014 2:00,41777.08333,1200.766827,25.708,-99
5/18/2014 2:30,41777.10417,1200.409926,25.708,-99
5/18/2014 3:00,41777.125,1200.583278,25.708,-99
5/18/2014 3:30,41777.14583,1202.357584,25.708,-99
5/18/2014 4:00,41777.16667,1204.845691,25.708,-99
5/18/2014 4:30,41777.1875,1205.906196,25.708,-99
5/18/2014 5:00,41777.20833,1206.263097,25.708,-99
5/18/2014 5:30,41777.22917,1206.079548,25.708,-99
5/18/2014 6:00,41777.25,1205.906196,25.708,-99
5/18/2014 6:30,41777.27083,1205.375944,25.708,-99
5/18/2014 7:00,41777.29167,1205.375944,25.708,-99
5/18/2014 7:30,41777.3125,1205.192395,25.708,-99
5/18/2014 8:00,41777.33333,1204.845691,25.708,-99
5/18/2014 8:30,41777.35417,1204.305242,25.708,-99
5/18/2014 9:00,41777.375,1203.958538,25.708,-99
5/18/2014 9:30,41777.39583,1203.601638,25.708,-99
5/18/2014 10:00,41777.41667,1202.887836,25.708,-99
5/18/2014 10:30,41777.4375,1202.000683,25.708,-99
5/18/2014 11:00,41777.45833,1201.470431,25.708,-99
5/18/2014 11:30,41777.47917,1200.583278,25.708,-99
5/18/2014 12:00,41777.5,1199.706322,25.708,-99
5/18/2014 12:30,41777.52083,1198.99252,25.708,-99
5/18/2014 13:00,41777.54167,1198.105367,25.708,-99
5/18/2014 13:30,41777.5625,1197.218214,25.708,-99
5/18/2014 14:00,41777.58333,1196.157709,25.708,-99
5/18/2014 14:30,41777.60417,1219.9069,25.708,-99
5/18/2014 15:00,41777.625,1225.94362,25.708,-99
5/18/2014 15:30,41777.64583,1227.891278,25.708,-99
5/18/2014 16:00,41777.66667,1225.586719,25.708,-99
5/18/2014 16:30,41777.6875,1218.673043,25.708,-99
5/18/2014 17:00,41777.70833,1214.594178,25.708,-99
5/18/2014 17:30,41777.72917,1213.880377,25.708,-99
5/18/2014 18:00,41777.75,1213.176773,25.708,-99
5/18/2014 18:30,41777.77083,1212.28962,25.708,-99
5/18/2014 19:00,41777.79167,1211.045566,25.708,-99
5/18/2014 19:30,41777.8125,1209.801512,25.708,-99
5/18/2014 20:00,41777.83333,1208.741007,25.708,-99
5/18/2014 20:30,41777.85417,1207.496954,25.708,-99
5/18/2014 21:00,41777.875,1206.966701,25.708,-99
5/18/2014 21:30,41777.89583,1206.6098,25.708,-99
5/18/2014 22:00,41777.91667,1206.263097,25.708,-99
