Site name: Gonari Schoolhouse meteorological monitoring station,,,,,,,,,,,,
Site description: on the roof of the schoolhouse at Gonari,,,,,,,,,,,,
Latitude: 22.504714N,,,,,,,,,,,,
Longitude: 89.435929E,,,,,,,,,,,,
"Start time: 26-Aug-2015, 0:00:00 local time (GMT +6)",,,,,,,,,,,,
"Stop time: 11-Sep-2015, 0:00:00 local time (GMT +6)",,,,,,,,,,,,
Sampling interval: 5 minutes,,,,,,,,,,,,
Notes: site measures atmospheric pressure only; used to convert water pressure to depth at the other locations. These data are part of a multi-year record.,,,,,,,,,,,,
,,,,,,,,,,,,
DATA,DATA,DATA,DATA,,,,,,,,,
Year,Month,Decimal day,Atmospheric pressure (kPa),Days,Dec,Dec,Hour,Mins,Date,Time,DateTime,Pressure (cm)
2015,8,26,100.06,26,0.00,0.00,0,0,8/26/2015,12:00 AM,8/26/15 00:00:00,1020.331832
2015,8,26.00347222,100.06,26,0.00,0.08,0,5,8/26/2015,12:05 AM,8/26/15 00:05:00,1020.331832
2015,8,26.00694444,100.06,26,0.01,0.17,0,10,8/26/2015,12:10 AM,8/26/15 00:10:00,1020.331832
2015,8,26.01041667,100.06,26,0.01,0.25,0,15,8/26/2015,12:15 AM,8/26/15 00:15:00,1020.331832
2015,8,26.01388889,100.06,26,0.01,0.33,0,20,8/26/2015,12:20 AM,8/26/15 00:20:00,1020.331832
2015,8,26.01736111,100.06,26,0.02,0.42,0,25,8/26/2015,12:25 AM,8/26/15 00:25:00,1020.331832
2015,8,26.02083333,100.06,26,0.02,0.50,0,30,8/26/2015,12:30 AM,8/26/15 00:30:00,1020.331832
2015,8,26.02430556,100.07,26,0.02,0.58,0,35,8/26/2015,12:35 AM,8/26/15 00:35:00,1020.433804
2015,8,26.02777778,100.07,26,0.03,0.67,0,40,8/26/2015,12:40 AM,8/26/15 00:40:00,1020.433804
2015,8,26.03125,100.08,26,0.03,0.75,0,45,8/26/2015,12:45 AM,8/26/15 00:45:00,1020.535776
2015,8,26.03472222,100.1,26,0.03,0.83,0,50,8/26/2015,12:50 AM,8/26/15 00:50:00,1020.73972
2015,8,26.03819444,100.11,26,0.04,0.92,0,55,8/26/2015,12:55 AM,8/26/15 00:55:00,1020.841692
2015,8,26.04166667,100.11,26,0.04,1.00,1,0,8/26/2015,1:00 AM,8/26/15 01:00:00,1020.841692
2015,8,26.04513889,100.12,26,0.05,1.08,1,5,8/26/2015,1:05 AM,8/26/15 01:05:00,1020.943664
2015,8,26.04861111,100.12,26,0.05,1.17,1,10,8/26/2015,1:10 AM,8/26/15 01:10:00,1020.943664
2015,8,26.05208333,100.13,26,0.05,1.25,1,15,8/26/2015,1:15 AM,8/26/15 01:15:00,1021.045636
2015,8,26.05555556,100.15,26,0.06,1.33,1,20,8/26/2015,1:20 AM,8/26/15 01:20:00,1021.24958
2015,8,26.05902778,100.16,26,0.06,1.42,1,25,8/26/2015,1:25 AM,8/26/15 01:25:00,1021.351552
2015,8,26.0625,100.15,26,0.06,1.50,1,30,8/26/2015,1:30 AM,8/26/15 01:30:00,1021.24958
2015,8,26.06597222,100.16,26,0.07,1.58,1,35,8/26/2015,1:35 AM,8/26/15 01:35:00,1021.351552
2015,8,26.06944444,100.18,26,0.07,1.67,1,40,8/26/2015,1:40 AM,8/26/15 01:40:00,1021.555496
2015,8,26.07291667,100.18,26,0.07,1.75,1,45,8/26/2015,1:45 AM,8/26/15 01:45:00,1021.555496
2015,8,26.07638889,100.19,26,0.08,1.83,1,50,8/26/2015,1:50 AM,8/26/15 01:50:00,1021.657468
2015,8,26.07986111,100.19,26,0.08,1.92,1,55,8/26/2015,1:55 AM,8/26/15 01:55:00,1021.657468
2015,8,26.08333333,100.19,26,0.08,2.00,1,60,8/26/2015,2:00 AM,8/26/15 02:00:00,1021.657468
2015,8,26.08680556,100.2,26,0.09,2.08,2,5,8/26/2015,2:05 AM,8/26/15 02:05:00,1021.75944
2015,8,26.09027778,100.19,26,0.09,2.17,2,10,8/26/2015,2:10 AM,8/26/15 02:10:00,1021.657468
2015,8,26.09375,100.19,26,0.09,2.25,2,15,8/26/2015,2:15 AM,8/26/15 02:15:00,1021.657468
2015,8,26.09722222,100.2,26,0.10,2.33,2,20,8/26/2015,2:20 AM,8/26/15 02:20:00,1021.75944
2015,8,26.10069444,100.2,26,0.10,2.42,2,25,8/26/2015,2:25 AM,8/26/15 02:25:00,1021.75944
2015,8,26.10416667,100.2,26,0.10,2.50,2,30,8/26/2015,2:30 AM,8/26/15 02:30:00,1021.75944
2015,8,26.10763889,100.21,26,0.11,2.58,2,35,8/26/2015,2:35 AM,8/26/15 02:35:00,1021.861412
