Site name: Gonari Schoolhouse meteorological monitoring station,,,
Site description: on the roof of the schoolhouse at Gonari,,,
Latitude: 22.504714N,,,
Longitude: 89.435929E,,,
"Start time: 26-Aug-2015, 0:00:00 local time (GMT +6)",,,
"Stop time: 11-Sep-2015, 0:00:00 local time (GMT +6)",,,
Sampling interval: 5 minutes,,,
Notes: site measures atmospheric pressure only; used to convert water pressure to depth at the other locations. These data are part of a multi-year record.,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Date/time,,Pressure[cm],Temperature
8/26/2015 0:00,42242,1020.331832,
8/26/2015 0:05,42242,1020.331832,
8/26/2015 0:10,42242.01,1020.331832,
8/26/2015 0:15,42242.01,1020.331832,
8/26/2015 0:20,42242.01,1020.331832,
8/26/2015 0:25,42242.02,1020.331832,
8/26/2015 0:30,42242.02,1020.331832,
8/26/2015 0:35,42242.02,1020.433804,
8/26/2015 0:40,42242.03,1020.433804,
8/26/2015 0:45,42242.03,1020.535776,
8/26/2015 0:50,42242.03,1020.73972,
8/26/2015 0:55,42242.04,1020.841692,
8/26/2015 1:00,42242.04,1020.841692,
8/26/2015 1:05,42242.05,1020.943664,
8/26/2015 1:10,42242.05,1020.943664,
8/26/2015 1:15,42242.05,1021.045636,
8/26/2015 1:20,42242.06,1021.24958,
8/26/2015 1:25,42242.06,1021.351552,
8/26/2015 1:30,42242.06,1021.24958,
8/26/2015 1:35,42242.07,1021.351552,
8/26/2015 1:40,42242.07,1021.555496,
8/26/2015 1:45,42242.07,1021.555496,
8/26/2015 1:50,42242.08,1021.657468,
8/26/2015 1:55,42242.08,1021.657468,
8/26/2015 2:00,42242.08,1021.657468,
8/26/2015 2:05,42242.09,1021.75944,
8/26/2015 2:10,42242.09,1021.657468,
8/26/2015 2:15,42242.09,1021.657468,
8/26/2015 2:20,42242.1,1021.75944,
8/26/2015 2:25,42242.1,1021.75944,
8/26/2015 2:30,42242.1,1021.75944,
8/26/2015 2:35,42242.11,1021.861412,
8/26/2015 2:40,42242.11,1021.861412,
8/26/2015 2:45,42242.11,1021.861412,
8/26/2015 2:50,42242.12,1021.861412,
8/26/2015 2:55,42242.12,1021.75944,
8/26/2015 3:00,42242.13,1021.75944,
8/26/2015 3:05,42242.13,1021.861412,
8/26/2015 3:10,42242.13,1021.75944,
8/26/2015 3:15,42242.14,1021.75944,
8/26/2015 3:20,42242.14,1021.75944,
8/26/2015 3:25,42242.14,1021.657468,
8/26/2015 3:30,42242.15,1021.657468,
8/26/2015 3:35,42242.15,1021.657468,
8/26/2015 3:40,42242.15,1021.657468,
8/26/2015 3:45,42242.16,1021.657468,
8/26/2015 3:50,42242.16,1021.657468,
8/26/2015 3:55,42242.16,1021.657468,
8/26/2015 4:00,42242.17,1021.657468,
8/26/2015 4:05,42242.17,1021.555496,
8/26/2015 4:10,42242.17,1021.453524,
8/26/2015 4:15,42242.18,1021.351552,
8/26/2015 4:20,42242.18,1021.351552,
8/26/2015 4:25,42242.18,1021.351552,
8/26/2015 4:30,42242.19,1021.351552,
8/26/2015 4:35,42242.19,1021.24958,
8/26/2015 4:40,42242.19,1021.351552,
8/26/2015 4:45,42242.2,1021.24958,
8/26/2015 4:50,42242.2,1021.24958,
8/26/2015 4:55,42242.2,1021.24958,
8/26/2015 5:00,42242.21,1021.24958,
8/26/2015 5:05,42242.21,1021.24958,
8/26/2015 5:10,42242.22,1021.147608,
8/26/2015 5:15,42242.22,1021.147608,
8/26/2015 5:20,42242.22,1021.147608,
8/26/2015 5:25,42242.23,1021.045636,
8/26/2015 5:30,42242.23,1021.045636,
8/26/2015 5:35,42242.23,1021.045636,
8/26/2015 5:40,42242.24,1020.943664,
8/26/2015 5:45,42242.24,1020.841692,
8/26/2015 5:50,42242.24,1020.73972,
8/26/2015 5:55,42242.25,1020.73972,
8/26/2015 6:00,42242.25,1020.637748,
8/26/2015 6:05,42242.25,1020.637748,
8/26/2015 6:10,42242.26,1020.535776,
8/26/2015 6:15,42242.26,1020.535776,
8/26/2015 6:20,42242.26,1020.433804,
8/26/2015 6:25,42242.27,1020.331832,
8/26/2015 6:30,42242.27,1020.22986,
8/26/2015 6:35,42242.27,1020.22986,
8/26/2015 6:40,42242.28,1020.127888,
8/26/2015 6:45,42242.28,1019.821972,
8/26/2015 6:50,42242.28,1019.821972,
8/26/2015 6:55,42242.29,1019.72,
8/26/2015 7:00,42242.29,1019.72,
8/26/2015 7:05,42242.3,1019.618028,
8/26/2015 7:10,42242.3,1019.618028,
8/26/2015 7:15,42242.3,1019.414084,
8/26/2015 7:20,42242.31,1019.516056,
8/26/2015 7:25,42242.31,1019.414084,
8/26/2015 7:30,42242.31,1019.414084,
8/26/2015 7:35,42242.32,1019.516056,
8/26/2015 7:40,42242.32,1019.414084,
8/26/2015 7:45,42242.32,1019.312112,
8/26/2015 7:50,42242.33,1019.21014,
8/26/2015 7:55,42242.33,1019.108168,
8/26/2015 8:00,42242.33,1019.006196,
8/26/2015 8:05,42242.34,1019.006196,
8/26/2015 8:10,42242.34,1019.006196,
8/26/2015 8:15,42242.34,1018.802252,
8/26/2015 8:20,42242.35,1018.70028,
8/26/2015 8:25,42242.35,1018.292392,
8/26/2015 8:30,42242.35,1018.292392,
8/26/2015 8:35,42242.36,1018.70028,
8/26/2015 8:40,42242.36,1018.496336,
8/26/2015 8:45,42242.36,1018.598308,
8/26/2015 8:50,42242.37,1018.394364,
8/26/2015 8:55,42242.37,1018.19042,
8/26/2015 9:00,42242.38,1018.292392,
8/26/2015 9:05,42242.38,1018.292392,
8/26/2015 9:10,42242.38,1018.19042,
8/26/2015 9:15,42242.39,1018.292392,
8/26/2015 9:20,42242.39,1018.292392,
8/26/2015 9:25,42242.39,1018.292392,
8/26/2015 9:30,42242.4,1018.088448,
8/26/2015 9:35,42242.4,1018.088448,
8/26/2015 9:40,42242.4,1017.986476,
8/26/2015 9:45,42242.41,1017.986476,
8/26/2015 9:50,42242.41,1017.884504,
8/26/2015 9:55,42242.41,1017.986476,
8/26/2015 10:00,42242.42,1017.884504,
8/26/2015 10:05,42242.42,1017.884504,
8/26/2015 10:10,42242.42,1017.986476,
8/26/2015 10:15,42242.43,1018.088448,
8/26/2015 10:20,42242.43,1017.884504,
8/26/2015 10:25,42242.43,1017.986476,
8/26/2015 10:30,42242.44,1017.986476,
8/26/2015 10:35,42242.44,1017.986476,
8/26/2015 10:40,42242.44,1017.986476,
8/26/2015 10:45,42242.45,1017.884504,
8/26/2015 10:50,42242.45,1017.986476,
8/26/2015 10:55,42242.45,1017.986476,
8/26/2015 11:00,42242.46,1017.884504,
8/26/2015 11:05,42242.46,1017.782532,
8/26/2015 11:10,42242.47,1017.986476,
8/26/2015 11:15,42242.47,1018.088448,
8/26/2015 11:20,42242.47,1018.19042,
8/26/2015 11:25,42242.48,1018.292392,
8/26/2015 11:30,42242.48,1018.394364,
8/26/2015 11:35,42242.48,1018.19042,
8/26/2015 11:40,42242.49,1018.292392,
8/26/2015 11:45,42242.49,1018.394364,
8/26/2015 11:50,42242.49,1018.394364,
8/26/2015 11:55,42242.5,1018.496336,
8/26/2015 12:00,42242.5,1018.598308,
8/26/2015 12:05,42242.5,1018.598308,
8/26/2015 12:10,42242.51,1018.70028,
8/26/2015 12:15,42242.51,1018.802252,
8/26/2015 12:20,42242.51,1018.904224,
8/26/2015 12:25,42242.52,1019.006196,
8/26/2015 12:30,42242.52,1018.904224,
8/26/2015 12:35,42242.52,1019.006196,
8/26/2015 12:40,42242.53,1019.108168,
8/26/2015 12:45,42242.53,1019.108168,
8/26/2015 12:50,42242.53,1019.312112,
8/26/2015 12:55,42242.54,1019.312112,
8/26/2015 13:00,42242.54,1019.414084,
8/26/2015 13:05,42242.55,1019.414084,
